"Output File Name: DB1_251223.csv"
"","","","Server 1"

"Date : 12/23/2025","","","","","ECMPWR Version : 31"
"Time : 15:44:55","","","","","Last Build : December 23, 2025"
"CFREPORT :  DB1_251223.cfr"
"Currency : KWON"
"Hardware Price File : KR KWON Thousands won Commercial--POWER 12/23/2025"
"Software Price File : KR KWON Thousands won Commercial--POWER 12//23/2025"

"This configurator is classified for proposal usage for IBM personnel"
"and Business Partners only.  The configurator USER must provide"
"complete and accurate information in order to produce a valid"
"upgrade system order or proposal.  The user will be held responsible"
"for verifying that the price, terms, and conditions are consistent"
"with the current sales manual.  Commitments on prices should not be"
"made without complete verification with the sales manuals. Prices"
"are for your information only and are subject to change. Applicable"
"taxes are not shown."


"********************  USER SELECTED/CRITICAL MESSAGES  ********************"
" CEID: 10ailnjz                                                            "
"Created on Tu Dec 23 2025 15:44:55 GMT+0900 (UTC) by Sang In               "
"Park                                                                       "

"*** This is a POWER SYSTEMS MACHINE - Please see System                    "
"comments for the Operating System(s) ordered ***                           "

"You have selected IBM Power Expert Care for your Client.                   "

"Power Expert Care year terms must match SWMA year terms.                   "

"Note: Only in enclosed city list and <50 KM of CBD, 24/48/72               "
"hours committed fix can be sold without additional delivery                "
"approval.                                                                  "


"*******************************  HARDWARE  *******************************"

"Product","Description","Qty","Purchase","","","","Maint","","","",""

"9080-HEU","Server 1:9080 Model HEU","1","481200.9","","","","","","","",""
"0265","AIX Partition Specify","1","0","","","","","","","",""
"2146","Primary OS - AIX","1","0","","","","","","","",""
"4651","Rack Indicator, Rack #1","1","0","","","","","","","",""
"5000","Software Preload Required","1","0","","","","","","","",""
"6577","Power Cable - Drawer to IBM PDU, 200-240V/10A","6","695.4","","","","","","","",""
"9169","Order Routing Indicator- System Plant","1","0","","","","","","","",""
"9440","New AIX License Core Counter","48","0","","","","","","","",""
"9716","Language Group Specify - Korean","1","0","","","","","","","",""
"AKNC","Premium S&H Indicator","1","0","","","","","","","",""
"ALH0","Expert Care Indicator","1","0","","","","","","","",""
"EB3E","Mobile Enablement specify","1","0","","","","","","","",""
"EB46","10GbE Optical Transceiver SFP+ SR","8","4020.8","","","","","","","",""
"EBAF","IBM Rack-mount Drawer Bezel and Hardware","1","2001.3","","","","","","","",""
"EC6J","PCIe2 LP 2-Port USB 3.0 Adapter","1","4103.9","","","","","","","",""
"EC6N","E1080 Control Unit External USB Enablement Cable","1","243","","","","","","","",""
"EC72","PCIe4 2-Port 25/10/1 GbE RoCE SFP28 Adapter","4","61839.2","","","","","","","",""
"EC7Q","800GB Mainstream NVMe U.2 SSD 4k for AIX/Linux","4","47423.6","","","","","","","",""
"ECLS","3.0M CXP x16 Copper Cable Pair for PCIe4 Expansion Drawer","2","15379","","","","","","","",""
"ECW0","Optical Wrap Plug","4","318.4","","","","","","","",""
"EDFB","Flexible Service processor FSP2","2","96740.4","","","","","","","",""
"EDQD","64-core Typical 3.8 to 4.3 GHZ (max) processor","1","2951365.5","","","","","","","",""
"EDQE","1 core processor activation for HEU","32","1280800","","","","","","","",""
"EDQL","1 core Mobile processor activation for HEU","16","640400","","","","","","","",""
"EFCH","System Node to System Control Unit Cable Set for Drawer 1","1","6242.2","","","","","","","",""
"EHSD","Power AIX Segment Indicator","1","0","","","","","","","",""
"EJ24","PCIe x16 to CXP Converter Card, Supports optical cables","2","24274.8","","","","","","","",""
"EJBF","4-NVMe U.2 (7mm) Flash drive bays","1","12394.6","","","","","","","",""
"EM24","1GB DDR5 Memory activation for HEU","44","24609.2","","","","","","","",""
"EM25","100GB DDR5 Memory activations for HEU","1","55925.8","","","","","","","",""
"EM26","512GB DDR5 Memory activation for HEU","2","572680.2","","","","","","","",""
"EMFM","128 GB (4x32GB) DDR5 Memory DDIMM","16","1665777.6","","","","","","","",""
"EMN1","5U System node Indicator drawer","1","0","","","","","","","",""
"EN1L","PCIe4 32Gb 4-port Optical Fibre Channel Adapter","4","249607.2","","","","","","","",""
"ENZ0","PCIe Gen4 I/O Expansion Drawer","1","46482.4","","","","","","","",""
"ENZF","PCIe4 6-Slot Fanout Module for PCIe Gen4 I/O Expansion Drawer","2","88948.6","","","","","","","",""
"EPVT","PowerVM Enterprise Edition","48","0","","","","","","","",""
"ESWK","AIX Update Access Key (UAK)","39","0","","","","","","","",""
"EUA5","Standalone USB DVD drive w/cable","1","906.5","","","","","","","",""
"EXA3","3 YEAR, ADVANCED EXPERT CARE","1","0","","","","","","","",""
"","","","=========","","","",""
"","9080-HEU Price","","8334380.5","","","","","","",""

"","Non-discountable Shipping and Handling Charge","","2967.74"

"7965-S42","Rack 1:7965-S42 2.0M POWER RACK","1","9060.9","","","","MULT","","","",""
"4651","Rack Indicator, Rack #1","2","N/C","","","","","","","",""
"6656","4.3m (14-Ft) 1PH/32A Power Cord","4","1800","","","","","","","",""
"7188","Power Distribution Unit","4","9930","","","","","","","",""
"9169","Order Routing Indicator- System Plant","1","N/C","","","","","","","",""
"AKNC","Premium S&H Indicator","1","0","","","","","","","",""
"ECRG","Rear Door IBM/OEM Flat for S42 Rack","1","1365.4","","","","","","","",""
"ECRJ","Rack Side Cover","2","2135.2","","","","","","","",""
"ECRK","Rack Rear Extension 5-In","1","1427.5","","","","","","","",""
"ECRM","Front Door IBM Logo Space-Saver for S42 Rack","1","1365.4","","","","","","","",""
"ER0L","Rack Content Specify TF6 - 1EIA","1","0","","","","","","","",""
"ER14","Rack Content Specify 1U Horizontal PDU - 1 EIA","4","N/C","","","","","","","",""
"ER48","Rack Content Specify for 9080-HEU - 7EIA","1","0","","","","","","","",""
"ERCN","Rack Content Specify: 7063-CR2 - 1EIA","1","N/C","","","","","","","",""
"ERCU","Rack Content Specify FC ENZ0 - 4EIA","1","N/C","","","","","","","",""
"ERLR","Left/Right PDU Redundancy","1","0","","","","","","","",""
"","","","=========","","","","=========","","","",""
"","7965-S42 Price","","27084.4","","","","","","",""
"","One-time Maintenance","","","","","","227","","","",""
"","Monthly Maintenance","","","","","","63","","","",""

"","Non-discountable Shipping and Handling Charge","","4519.64"

"5313-HPO","IBM Power Software HIPO","1","N/C","","","","","","","",""
"0656","9080-HEU Rounting Code","1","N/C","","","","","","","",""
"0967","Base OS","1","N/C","","","","","","","",""
"1073","OS Specify code for AIX 7.3","1","N/C","","","","","","","",""
"5000","Preload","1","N/C","","","","","","","",""
"5986","Korean Preinstall PII Language","1","N/C","","","","","","","",""
"9210","HW is Rack integrated","1","N/C","","","","","","","",""
"","","","=========","","","",""
"","5313-HPO Price","","0","","","","","","",""

"","Non-discountable Shipping and Handling Charge","","0"

"9366-A03","3 year, Advanced Expert Care","1","1166813.27","","","","","","","",""
"","","","=========","","","",""
"","9366-A03 Price","","1166813.27","","","","","","",""


"*******************************  SOFTWARE  *******************************"

"Product","Description","Qty","License","","","","","","","",""

"5692-A6P","System Software","1","N/C","","","","","","","",""
"1101","DVD Process No Charge","1","N/C","","","","","","","",""
"2282","IBM PowerVM V4 VIOS","1","N/C","","","","","","","",""
"2284","IBM PowerVM V4 Expansion Pack","1","N/C","","","","","","","",""
"2324","NovaLink (5765-PVS/PVE/VE3/VE4)","1","N/C","","","","","","","",""
"2375","AIX 7.3 Base Install","1","N/C","","","","","","","",""
"2376","AIX 7.3 Expansion Pack","1","N/C","","","","","","","",""
"2377","AIX 7.3 Standard Edition Specify (5765-G98)","1","N/C","","","","","","","",""
"3435","DVD/CD-ROM","1","N/C","","","","","","","",""
"3450","Electronic Delivery","1","N/C","","","","","","","",""
"","","","=========","","","",""
"","5692-A6P Price","","0","","","","","","",""


"5765-G98","IBM AIX 7 Standard Edition","1","N/C","","","","","","","",""
"2377","AIX 7.3 Standard Edition Specify","1","N/C","","","","","","","",""
"3500","Preload Specifier","1","N/C","","","","","","","",""
"C1AW","Per Processor Power - Medium","48","249172.8","","","","","","","",""
"","","","=========","","","",""
"","5765-G98 Price","","249172.8","","","","","","",""


"5773-SM3","3-Year SWMA for 5765-C34/E61/E62/G03/G62/G98","1","N/C","","","","","","","",""
"1256","Per Processor 3 Yr SWMA Medium Power Reg","48","186878.4","","","","","","","",""
"","","","=========","","","",""
"","5773-SM3 Price","","186878.4","","","","","","",""


"5765-P2E","Power Enterprise Pools License Entitlement","1","N/C","","","","","","","",""
"3439","Subscription Term Registration","36","N/C","","","","","","","",""
"6200","Mobile/Shared Utility Capacity - Per Socket, High-end","4","N/C","","","","","","","",""
"C4CQ","Mobile/Shared Utility Capacity - Per Socket, License","4","0","","","","","","","",""
"","","","=========","","","",""
"","5765-P2E Price","","0","","","","","","",""


"5765-P23","Power Enterprise Pools - 3 Year Subscription","1","N/C","","","","","","","",""
"C4DL","Yearly Charge Per Socket - High-end","12","256368","","","","","","","",""
"","","","=========","","","",""
"","5765-P23 Price","","256368","","","","","","",""


"5773-P2E","Power Enterprise Pools - 3 Year Registration","1","N/C","","","","","","","",""
"6000","3 Year Registration","1","N/C","","","","","","","",""
"A1AA","3 Year Registration Term","1","0","","","","","","","",""
"","","","=========","","","",""
"","5773-P2E Price","","0","","","","","","",""


"5765-VE4","IBM PowerVM V4","1","N/C","","","","","","","",""
"C3TF","Per Proc Core Medium N/C HSE","48","N/C","","","","","","","",""
"","","","=========","","","",""
"","5765-VE4 Price","","0","","","","","","",""


